Water_Intake (liters),Physical_Activity (hours),Ambient_Temperature (°C),Sweat_Rate (liters/hour),Dehydration_Symptoms
0.010204081632653059,0.07692307692307693,0.20833333333333348,0.05882352941176472,No
0.020408163265306117,0.23076923076923078,0.29166666666666674,0.11764705882352941,No
0.030612244897959183,0.15384615384615385,0.375,0.17647058823529413,No
0.040816326530612256,0.23076923076923078,0.4583333333333335,0.2352941176470588,Yes
0.051020408163265314,0.38461538461538464,0.41666666666666674,0.2941176470588236,Yes
0.06122448979591837,0.3076923076923077,0.5,0.2352941176470588,Yes
0.07142857142857145,0.38461538461538464,0.5416666666666667,0.3529411764705882,Yes
0.0816326530612245,0.15384615384615385,0.3333333333333335,0.17647058823529413,No
0.09183673469387757,0.23076923076923078,0.25,0.11764705882352941,No
0.10204081632653061,0.3076923076923077,0.16666666666666674,0.05882352941176472,No
0.11224489795918369,0.0,0.625,0.2352941176470588,Yes
0.12244897959183676,0.07692307692307693,0.5833333333333335,0.2941176470588236,Yes
0.1326530612244898,0.15384615384615385,0.5,0.17647058823529413,No
0.14285714285714288,0.23076923076923078,0.41666666666666674,0.2352941176470588,No
0.15306122448979592,0.3076923076923077,0.3333333333333335,0.2941176470588236,No
0.163265306122449,0.38461538461538464,0.20833333333333348,0.3529411764705882,No
0.17346938775510207,0.15384615384615385,0.29166666666666674,0.11764705882352941,No
0.18367346938775514,0.23076923076923078,0.25,0.17647058823529413,No
0.19387755102040816,0.3076923076923077,0.125,0.05882352941176472,No
0.20408163265306123,0.38461538461538464,0.0,0.11764705882352941,No
0.21428571428571433,0.4615384615384616,0.08333333333333348,0.17647058823529413,Yes
0.2244897959183674,0.0,0.41666666666666674,0.2352941176470588,No
0.23469387755102047,0.07692307692307693,0.375,0.2941176470588236,No
0.2448979591836735,0.15384615384615385,0.3333333333333335,0.3529411764705882,No
0.2551020408163266,0.23076923076923078,0.29166666666666674,0.11764705882352941,No
0.26530612244897966,0.3076923076923077,0.25,0.17647058823529413,No
0.27551020408163274,0.38461538461538464,0.20833333333333348,0.2352941176470588,No
0.2857142857142858,0.15384615384615385,0.125,0.2941176470588236,No
0.2959183673469388,0.23076923076923078,0.08333333333333348,0.3529411764705882,Yes
0.3061224489795919,0.3076923076923077,0.04166666666666674,0.17647058823529413,Yes
0.31632653061224497,0.38461538461538464,0.0,0.2352941176470588,Yes
0.3673469387755103,0.07692307692307693,0.16666666666666674,0.11764705882352941,No
0.4183673469387756,0.23076923076923078,0.25,0.17647058823529413,No
0.46938775510204095,0.15384615384615385,0.29166666666666674,0.2352941176470588,No
0.5204081632653061,0.23076923076923078,0.3333333333333335,0.2941176470588236,Yes
0.5714285714285715,0.3076923076923077,0.375,0.3529411764705882,Yes
0.010204081632653059,0.3076923076923077,0.16666666666666674,0.11764705882352941,No
0.06122448979591837,0.38461538461538464,0.125,0.17647058823529413,No
0.11224489795918369,0.4615384615384616,0.20833333333333348,0.2352941176470588,No
0.163265306122449,0.5384615384615385,0.25,0.2941176470588236,Yes
0.21428571428571433,0.6153846153846154,0.29166666666666674,0.3529411764705882,Yes
0.26530612244897966,0.6923076923076923,0.3333333333333335,0.2352941176470588,Yes
0.31632653061224497,0.7692307692307694,0.375,0.2941176470588236,Yes
0.3673469387755103,0.8461538461538463,0.41666666666666674,0.3529411764705882,Yes
0.4183673469387756,0.07692307692307693,0.20833333333333348,0.11764705882352941,No
0.46938775510204095,0.15384615384615385,0.25,0.17647058823529413,No
0.5204081632653061,0.23076923076923078,0.29166666666666674,0.2352941176470588,No
0.5714285714285715,0.3076923076923077,0.3333333333333335,0.2941176470588236,Yes
0.010204081632653059,0.38461538461538464,0.20833333333333348,0.17647058823529413,No
0.06122448979591837,0.5384615384615385,0.29166666666666674,0.2352941176470588,Yes
0.11224489795918369,0.6923076923076923,0.375,0.2941176470588236,Yes
0.163265306122449,0.8461538461538463,0.4583333333333335,0.3529411764705882,Yes
0.21428571428571433,0.38461538461538464,0.41666666666666674,0.2352941176470588,No
0.26530612244897966,0.5384615384615385,0.5,0.2941176470588236,Yes
0.31632653061224497,0.6923076923076923,0.5833333333333335,0.3529411764705882,Yes
0.3673469387755103,0.8461538461538463,0.625,0.4117647058823529,Yes
0.4183673469387756,0.23076923076923078,0.125,0.11764705882352941,No
0.46938775510204095,0.38461538461538464,0.16666666666666674,0.17647058823529413,No
0.5204081632653061,0.5384615384615385,0.20833333333333348,0.2352941176470588,No
0.5714285714285715,0.6923076923076923,0.29166666666666674,0.2941176470588236,Yes
0.010204081632653059,0.5384615384615385,0.3333333333333335,0.17647058823529413,No
0.06122448979591837,0.6923076923076923,0.41666666666666674,0.2352941176470588,Yes
0.11224489795918369,0.8461538461538463,0.5,0.2941176470588236,Yes
0.163265306122449,0.38461538461538464,0.5416666666666667,0.3529411764705882,Yes
0.21428571428571433,0.5384615384615385,0.625,0.4117647058823529,Yes
0.26530612244897966,0.6923076923076923,0.7083333333333335,0.47058823529411764,Yes
0.31632653061224497,0.23076923076923078,0.25,0.17647058823529413,No
0.3673469387755103,0.38461538461538464,0.29166666666666674,0.2352941176470588,No
0.4183673469387756,0.5384615384615385,0.3333333333333335,0.2941176470588236,No
0.46938775510204095,0.6923076923076923,0.375,0.3529411764705882,Yes
0.5204081632653061,0.8461538461538463,0.41666666666666674,0.4117647058823529,Yes
0.5714285714285715,1.0000000000000002,0.4583333333333335,0.47058823529411764,Yes
0.0,0.07692307692307693,0.0,0.0,No
0.010204081632653059,0.15384615384615385,0.04166666666666674,0.05882352941176472,No
0.020408163265306117,0.23076923076923078,0.08333333333333348,0.11764705882352941,No
0.030612244897959183,0.3076923076923077,0.125,0.17647058823529413,No
0.040816326530612256,0.38461538461538464,0.16666666666666674,0.2352941176470588,No
0.051020408163265314,0.4615384615384616,0.20833333333333348,0.2941176470588236,No
0.06122448979591837,0.5384615384615385,0.25,0.3529411764705882,No
0.07142857142857145,0.6153846153846154,0.29166666666666674,0.4117647058823529,Yes
0.0816326530612245,0.6923076923076923,0.3333333333333335,0.47058823529411764,Yes
0.09183673469387757,0.7692307692307694,0.375,0.5294117647058824,Yes
0.10204081632653061,0.8461538461538463,0.41666666666666674,0.5882352941176471,Yes
0.11224489795918369,0.07692307692307693,0.4583333333333335,0.4117647058823529,Yes
0.12244897959183676,0.15384615384615385,0.5,0.47058823529411764,Yes
0.1326530612244898,0.23076923076923078,0.5416666666666667,0.5294117647058824,Yes
0.14285714285714288,0.3076923076923077,0.5833333333333335,0.5882352941176471,Yes
0.15306122448979592,0.38461538461538464,0.625,0.6470588235294117,Yes
0.163265306122449,0.4615384615384616,0.6666666666666667,0.7058823529411764,Yes
0.17346938775510207,0.5384615384615385,0.7083333333333335,0.7647058823529412,Yes
0.18367346938775514,0.6153846153846154,0.75,0.8235294117647058,Yes
0.19387755102040816,0.6923076923076923,0.7916666666666667,0.8823529411764706,Yes
0.20408163265306123,0.7692307692307694,0.8333333333333335,0.9411764705882353,Yes
0.21428571428571433,0.8461538461538463,0.875,1.0,Yes
0.2244897959183674,0.07692307692307693,0.08333333333333348,0.05882352941176472,No
0.23469387755102047,0.15384615384615385,0.125,0.11764705882352941,No
0.2448979591836735,0.23076923076923078,0.16666666666666674,0.17647058823529413,No
0.2551020408163266,0.3076923076923077,0.20833333333333348,0.2352941176470588,No
0.26530612244897966,0.38461538461538464,0.25,0.2941176470588236,No
0.27551020408163274,0.4615384615384616,0.29166666666666674,0.3529411764705882,No
0.2857142857142858,0.5384615384615385,0.3333333333333335,0.4117647058823529,No
0.2959183673469388,0.6153846153846154,0.375,0.47058823529411764,Yes
0.3061224489795919,0.6923076923076923,0.41666666666666674,0.5294117647058824,Yes
0.31632653061224497,0.7692307692307694,0.4583333333333335,0.5882352941176471,Yes
0.32653061224489804,0.8461538461538463,0.5,0.6470588235294117,Yes
0.3367346938775511,0.07692307692307693,0.5416666666666667,0.4117647058823529,Yes
0.34693877551020413,0.15384615384615385,0.5833333333333335,0.47058823529411764,Yes
0.3571428571428572,0.23076923076923078,0.625,0.5294117647058824,Yes
0.3673469387755103,0.3076923076923077,0.6666666666666667,0.5882352941176471,Yes
0.3775510204081633,0.38461538461538464,0.7083333333333335,0.6470588235294117,Yes
0.3877551020408164,0.4615384615384616,0.75,0.7058823529411764,Yes
0.39795918367346944,0.5384615384615385,0.7916666666666667,0.7647058823529412,Yes
0.40816326530612257,0.6153846153846154,0.8333333333333335,0.8235294117647058,Yes
0.4183673469387756,0.6923076923076923,0.875,0.8823529411764706,Yes
0.4285714285714286,0.7692307692307694,0.9166666666666667,0.9411764705882353,Yes
0.43877551020408173,0.8461538461538463,0.9583333333333335,1.0,Yes
0.44897959183673475,0.07692307692307693,0.16666666666666674,0.11764705882352941,No
0.4591836734693879,0.15384615384615385,0.20833333333333348,0.17647058823529413,No
0.46938775510204095,0.23076923076923078,0.25,0.2352941176470588,No
0.4795918367346939,0.3076923076923077,0.29166666666666674,0.2941176470588236,No
0.4897959183673471,0.38461538461538464,0.3333333333333335,0.3529411764705882,No
0.5,0.4615384615384616,0.375,0.4117647058823529,No
0.5102040816326532,0.5384615384615385,0.41666666666666674,0.47058823529411764,Yes
0.5204081632653061,0.6153846153846154,0.4583333333333335,0.5294117647058824,Yes
0.5306122448979592,0.6923076923076923,0.5,0.5882352941176471,Yes
0.5408163265306123,0.7692307692307694,0.5416666666666667,0.6470588235294117,Yes
0.5510204081632654,0.8461538461538463,0.5833333333333335,0.7058823529411764,Yes
0.5612244897959184,0.07692307692307693,0.20833333333333348,0.17647058823529413,No
0.5714285714285715,0.15384615384615385,0.25,0.2352941176470588,No
0.5816326530612245,0.23076923076923078,0.29166666666666674,0.2941176470588236,No
0.5918367346938777,0.3076923076923077,0.3333333333333335,0.3529411764705882,No
0.6020408163265306,0.38461538461538464,0.375,0.4117647058823529,No
0.6122448979591838,0.4615384615384616,0.41666666666666674,0.47058823529411764,Yes
0.6224489795918368,0.5384615384615385,0.4583333333333335,0.5294117647058824,Yes
